202105|Accounting|Accounting I|55696|ACCT 2101|ES|Class|12:30 pm - 2:40 pm|MTWR|College of Business 200|Ryan   Blunck (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse
202105|Aerospace Engineering|Undergraduate Research|53958|AE 2699|MAV|Class|TBA||TBA|Dimitrios N  Mavris (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|58141|AE 2699|MEN|Class|TBA||TBA|Suresh   Menon (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|56769|AE 2699|PRA|Class|TBA||TBA|J V R  Prasad (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|57699|AE 2699|RIM|Class|TBA||TBA|Julian Jose  Rimoli (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54033|AE 2699|RUF|Class|TBA||TBA|Stephen M  Ruffin (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54092|AE 2699|SAN|Class|TBA||TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|56253|AE 2699|SCH|Class|TBA||TBA|Daniel Patrick  Schrage (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54745|AE 2699|SEI|Class|TBA||TBA|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|60816|AE 2699|STE|Class|TBA||TBA|Adam Michael  Steinberg (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|56568|AE 2699|SUN|Class|TBA||TBA|Wenting   Sun (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|59938|AE 2699|VAM|Class|TBA||TBA|Kyriakos   Vamvoudakis (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|57600|AE 2699|WAL|Class|TBA||TBA|Mitchell L.R.  Walker (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Aerodynamics|60213|AE 3030|B|Class|9:30 am - 12:15 pm|TR|TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|4.000 Credits|SummerOnlineCourse,RemoteSynchronousCourse
202105|Aerospace Engineering|Aerodynamics|57062|AE 3030|RLI|Class|9:30 am - 10:45 am|TR|TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|4.000 Credits|AE/ISYELimerickSummerProg,StudyAbroadUGremote
202105|Aerospace Engineering|Aerodynamics Recitation|60639|AE 3030R|B|Class|5:00 pm - 6:15 pm|W|TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|0.000 Credits|RemoteSynchronousCourse
202105|Aerospace Engineering|Structural Analysis|60214|AE 3140|B|Class|3:30 pm - 5:40 pm|TR|TBA|George   Kardomateas (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|SummerOnlineCourse,RemoteSynchronousCourse
202105|Aerospace Engineering|Intro AE Vehicle Perform|58871|AE 3330|A|Class|12:30 pm - 2:40 pm|TR|Skiles 368|Joseph Homer  Saleh (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse
202105|Aerospace Engineering|Intro AE Vehicle Perform|57063|AE 3330|RLI|Class|12:30 pm - 2:40 pm|TR|TBA|Joseph Homer  Saleh (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse,AE/ISYELimerickSummerProg,StudyAbroadUGremote
202105|Aerospace Engineering|Design&System Eng Method|57402|AE 3340|A|Class|9:30 am - 10:45 am|MW|Skiles 246|Elena   Garcia (P)|GraduateSemester,UndergraduateSemester|2.000 Credits|HybridCourse
202105|Aerospace Engineering|Sys Dynamics&Vibration|60150|AE 3530|A|Class|TBA||TBA|Chance Carue  McColl (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|RemoteAsynchronousCourse,SummerOnlineCourse
202105|Aerospace Engineering|Sys Dynamics&Vibration|57447|AE 3530|RLI|Class|TBA||Foreign Studies Prog (FORSPRO)|Chance Carue  McColl (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|AE/ISYELimerickSummerProg
202105|Aerospace Engineering|Ctrl Sys Analysis&Design|57443|AE 3531|A|Class|TBA||TBA|Chance Carue  McColl (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|RemoteAsynchronousCourse,SummerOnlineCourse
202105|Aerospace Engineering|Ctrl Sys Analysis&Design|60862|AE 3531|AGR|Class|TBA||TBA|Chance Carue  McColl (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|RemoteAsynchronousCourse
202105|Aerospace Engineering|Ctrl Sys Analysis&Design|58308|AE 3531|RLI|Class|TBA||TBA|Chance Carue  McColl (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|AE/ISYELimerickSummerProg
202105|Aerospace Engineering|Aerothermodynamics|60279|AE 4080|A|Class|9:30 am - 10:45 am|MWF|Coll of Computing 101|John Allen  Dec (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse,TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Aerothermodynamics|60280|AE 4080|RLI|Class|9:30 am - 10:45 am|MWF|TBA|John Allen  Dec (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|AE/ISYELimerickSummerProg,StudyAbroadUGremote,TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Jet & Rocket Propulsion|60218|AE 4451|A|Class|3:30 pm - 5:40 pm|TR|Bunger-Henry 380|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse,TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Jet & Rocket Propulsion|58873|AE 4451|RLI|Class|3:30 pm - 5:40 pm|TR|TBA|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse,AE/ISYELimerickSummerProg,StudyAbroadUGremote
202105|Aerospace Engineering|Research Assistantship|54479|AE 4698|CLA|Class|TBA||TBA|John-Paul B  Clarke (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|55347|AE 4698|FEI|Class|TBA||TBA|Karen Michelle  Feigh (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|54106|AE 4698|FER|Class|TBA||TBA|Eric Marie J  Feron (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|55921|AE 4698|GER|Class|TBA||TBA|Brian Joseph  German (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|56775|AE 4698|GUN|Class|TBA||TBA|Brian Christopher  Gunter (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|57179|AE 4698|KEN|Class|TBA||TBA|Graeme J  Kennedy (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|54334|AE 4698|LIE|Class|TBA||TBA|Tim Charles  Lieuwen (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|53954|AE 4698|MAV|Class|TBA||TBA|Dimitrios N  Mavris (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|53785|AE 4698|MEN|Class|TBA||TBA|Suresh   Menon (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|58553|AE 4698|OEF|Class|TBA||TBA|Joseph   Oefelein (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|Res/CP>=101conthrs
202105|Aerospace Engineering|Research Assistantship|54051|AE 4698|PRA|Class|TBA||TBA|J V R  Prasad (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|58179|AE 4698|RIM|Class|TBA||TBA|Julian Jose  Rimoli (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|60012|AE 4698|ROG|Class|TBA||TBA|Jonathan David  Rogers (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|Res/CP>=101conthrs
202105|Aerospace Engineering|Research Assistantship|54568|AE 4698|SAL|Class|TBA||TBA|Joseph Homer  Saleh (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|53759|AE 4698|SAN|Class|TBA||TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|53995|AE 4698|SCH|Class|TBA||TBA|Daniel Patrick  Schrage (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|54420|AE 4698|SEI|Class|TBA||TBA|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|55115|AE 4698|SMI|Class|TBA||TBA|Marilyn Ruth Jones  Smith (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|60815|AE 4698|STE|Class|TBA||TBA|Adam Michael  Steinberg (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|Res/CP>=101conthrs
202105|Aerospace Engineering|Research Assistantship|57539|AE 4698|THE|Class|TBA||TBA|Evangelos A  Theodorou (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|55930|AE 4698|TSI|Class|TBA||TBA|Panagiotis   Tsiotras (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|59940|AE 4698|VAM|Class|TBA||TBA|Kyriakos   Vamvoudakis (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|Res/CP>=101conthrs
202105|Aerospace Engineering|Research Assistantship|55771|AE 4698|WAL|Class|TBA||TBA|Mitchell L.R.  Walker (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|58103|AE 4698|YEU|Class|TBA||TBA|Pui-Kuen   Yeung (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Research Assistantship|53740|AE 4698|ZIN|Class|TBA||TBA|Ben T  Zinn (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|
202105|Aerospace Engineering|Undergraduate Research|56203|AE 4699|CLA|Class|TBA||TBA|John-Paul B  Clarke (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|60011|AE 4699|COS|Class|TBA||TBA|Mark Francis  Costello (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|55661|AE 4699|FEI|Class|TBA||TBA|Karen Michelle  Feigh (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54744|AE 4699|FER|Class|TBA||TBA|Eric Marie J  Feron (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|55868|AE 4699|GER|Class|TBA||TBA|Brian Joseph  German (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|59987|AE 4699|GRI|Class|TBA||TBA|Kelly Ann  Griendling (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|56807|AE 4699|GUN|Class|TBA||TBA|Brian Christopher  Gunter (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54979|AE 4699|HOD|Class|TBA||TBA|Dewey H  Hodges (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|58473|AE 4699|JAG|Class|TBA||TBA|Jechiel   Jagoda (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|56172|AE 4699|KAR|Class|TBA||TBA|George   Kardomateas (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|56832|AE 4699|KEN|Class|TBA||TBA|Graeme J  Kennedy (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53983|AE 4699|LIE|Class|TBA||TBA|Tim Charles  Lieuwen (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|57538|AE 4699|LIG|Class|TBA||TBA|Edgar Glenn  Lightsey (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53993|AE 4699|MAV|Class|TBA||TBA|Dimitrios N  Mavris (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|56501|AE 4699|MEN|Class|TBA||TBA|Suresh   Menon (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54094|AE 4699|PRA|Class|TBA||TBA|J V R  Prasad (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|55636|AE 4699|RIM|Class|TBA||TBA|Julian Jose  Rimoli (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|57849|AE 4699|RLI|Class|TBA||TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|AE/ISYELimerickSummerProg,TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54034|AE 4699|RUF|Class|TBA||TBA|Stephen M  Ruffin (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|54743|AE 4699|SAL|Class|TBA||TBA|Joseph Homer  Saleh (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53738|AE 4699|SAN|Class|TBA||TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|56546|AE 4699|SCH|Class|TBA||TBA|Daniel Patrick  Schrage (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53696|AE 4699|SEI|Class|TBA||TBA|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53968|AE 4699|SMI|Class|TBA||TBA|Marilyn Ruth Jones  Smith (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|58620|AE 4699|STE|Class|TBA||TBA|Adam Michael  Steinberg (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|56569|AE 4699|SUN|Class|TBA||TBA|Wenting   Sun (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53729|AE 4699|TSI|Class|TBA||TBA|Panagiotis   Tsiotras (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|59937|AE 4699|VAM|Class|TBA||TBA|Kyriakos   Vamvoudakis (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences,Res/CP>=101conthrs
202105|Aerospace Engineering|Undergraduate Research|54049|AE 4699|WAL|Class|TBA||TBA|Mitchell L.R.  Walker (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53896|AE 4699|YEU|Class|TBA||TBA|Pui-Kuen   Yeung (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|57522|AE 4699|YU|Class|TBA||TBA|Min-Feng   Yu (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Undergraduate Research|53725|AE 4699|ZIN|Class|TBA||TBA|Ben T  Zinn (P)|GraduateSemester,UndergraduateSemester|1.000 TO       12.000 Credits|TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Wind Engineering|60366|AE 4701|A|Class|TBA||TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|RemoteAsynchronousCourse,SummerOnlineCourse
202105|Aerospace Engineering|Wind Engineering|60654|AE 4701|AGR|Class|TBA||TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|RemoteAsynchronousCourse
202105|Aerospace Engineering|Wind Engineering|58877|AE 4701|RLI|Class|TBA||TBA|Narayanamoorthy Lakshmi  Sankar (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|AE/ISYELimerickSummerProg,StudyAbroadUGremote,RemoteSynchronousCourse
202105|Aerospace Engineering|Special Topics|60285|AE 4803|PRO|Class|12:30 pm - 2:40 pm|TR|Guggenheim 442|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|HybridCourse,TechElectCS,Engr,&Sciences
202105|Aerospace Engineering|Special Topics|58874|AE 4803|RLI|Class|12:30 pm - 2:40 pm|TR|TBA|Jerry M  Seitzman (P)|GraduateSemester,UndergraduateSemester|3.000 Credits|AE/ISYELimerickSummerProg,StudyAbroadUGremote,RemoteSynchronousCourse
